nudge_id,delta_card_utilization_pct_90d,delta_savings_rate_pct_90d,delta_days_negative_90d,delta_revenue_mxn_90d
125,0.36,1.46,-0.19,11.35
126,0.17,1.63,-0.24,-21.65
127,0.58,0.35,0.2,0.19
128,-1.06,-1.01,0.09,49.21
129,-0.02,-1.45,0.45,-20.68
130,0.12,0.57,-0.22,11.66
131,-0.94,0.05,-0.09,18.42
132,0.33,3.38,0.31,53.46
133,7.21,-2.99,-0.87,250.25
134,-0.2,0.88,-0.56,-15.43
135,-1.05,0.46,-0.2,-2.28
136,0.05,0.62,-0.28,-63.54
137,-2.61,0.05,0.09,14.99
138,-0.6,0.54,-0.0,16.12
139,16.45,-0.9,1.65,341.8
140,0.27,-0.01,0.5,-29.32
141,-0.38,-0.43,0.13,9.48
142,1.64,-0.64,-0.44,-11.88
143,-0.81,0.53,0.07,-30.87
144,0.43,0.05,0.14,7.3
145,-0.67,-2.0,-0.27,99.42
146,-0.11,0.1,-0.1,-23.11
147,0.44,0.76,0.01,-13.04
148,-0.46,-0.79,-0.18,-7.48
149,-1.27,0.82,0.17,40.38
150,-1.73,-0.25,0.21,0.7
151,2.92,0.4,0.33,246.26
152,-0.18,0.11,-0.04,48.18
153,-0.07,-1.1,-0.14,22.55
154,1.88,-0.51,0.15,35.16
155,-1.0,-0.08,-0.5,-16.08
156,0.01,-0.75,0.06,32.22
157,1.29,-0.63,-0.18,-22.5
158,0.71,-0.81,0.11,11.46
159,0.28,0.74,-0.43,-39.96
160,0.45,-0.29,-0.04,36.93
161,1.01,-1.03,0.12,34.04
162,-0.32,0.6,0.23,8.23
163,1.21,0.45,0.36,27.12
164,-0.66,-0.59,-0.21,-12.3
165,-0.01,-1.14,-0.23,30.75
166,-0.77,0.38,-0.29,-40.11
167,-0.07,-1.17,0.11,-24.26
168,1.4,-0.35,0.4,-16.38
169,1.02,-0.58,-0.24,22.58
170,1.0,0.5,0.4,-11.24
171,0.75,-0.35,0.22,-25.54
172,-0.15,0.63,-0.1,-35.55
173,-0.18,0.35,-0.04,30.4
174,3.77,-1.86,0.28,247.66
175,-0.32,-1.05,0.13,-21.51
176,1.28,-0.1,0.29,15.85
177,1.68,-0.96,0.27,25.69
178,-0.32,-1.38,0.11,69.96
179,0.4,0.15,-0.33,-26.84
180,0.9,1.05,0.67,43.01
181,0.36,-0.33,0.06,14.57
182,0.58,0.01,0.03,19.56
183,-0.9,-0.17,-1.07,-57.55
184,-0.2,0.03,-0.31,4.14
185,-0.31,3.36,-0.08,5.29
186,-0.59,0.46,-0.32,-22.95
187,0.11,0.26,-0.13,15.63
188,9.7,-2.12,0.35,226.04
189,0.3,-0.89,-0.31,81.37
190,-0.35,-1.61,0.46,81.32
191,0.7,1.61,0.38,-15.15
192,-0.24,-0.03,-0.0,10.97
193,0.07,1.0,-0.36,2.88
194,1.34,-1.22,0.27,56.2
195,-1.75,7.46,-0.2,11.45
196,-0.49,-0.63,-0.02,-28.86
197,1.49,-1.06,-0.06,-19.21
198,-0.01,-1.77,0.29,25.67
199,0.12,1.04,-0.38,24.78
200,-0.23,0.17,-0.31,8.33
201,0.48,0.94,-0.18,-3.61
202,-0.45,0.15,0.46,-65.81
203,0.66,1.22,-0.01,-31.02
204,-1.51,0.59,0.17,20.09
205,0.74,-0.18,-0.09,4.0
206,-1.06,0.44,0.4,9.42
207,-0.33,-0.44,0.05,59.16
208,0.48,-0.21,-0.19,-25.74
209,-0.7,-0.09,0.09,14.98
210,0.57,-1.25,0.11,-16.54
211,0.89,1.7,0.48,2.87
212,1.33,-0.34,-0.13,-37.85
213,2.47,-2.94,0.23,231.39
214,-1.12,0.58,-0.12,-1.77
215,-0.62,1.22,-0.3,-14.08
216,-1.99,6.7,-0.39,-37.64
217,-0.9,-0.18,0.15,15.37
218,1.11,0.59,-0.47,-46.87
219,-3.06,-0.52,-0.34,9.28
220,0.39,-0.69,-0.02,-27.98
221,0.18,-0.23,-0.06,21.44
222,-0.43,-0.36,0.29,2.79
223,1.18,0.94,-0.04,16.73
224,-0.98,-0.96,-0.06,-10.66
225,-0.44,-1.7,0.14,-15.48
226,1.72,1.57,0.12,25.19
227,0.45,0.72,-0.45,12.08
228,1.7,0.24,-0.49,6.96
229,0.12,1.07,-0.06,8.28
230,-0.29,0.25,0.34,42.25
231,-0.76,1.06,-0.11,4.44
232,8.71,-1.47,1.35,206.11
233,0.35,0.28,-0.48,9.97
234,-0.93,-1.02,0.18,11.06
235,-0.43,-3.27,0.36,-7.26
236,0.06,-0.13,0.4,-9.42
237,1.95,-1.29,0.24,10.12
238,0.16,-0.27,0.3,16.71
239,-1.5,-0.81,0.11,-16.71
240,0.8,0.07,0.25,-4.72
241,-1.7,0.9,0.04,-28.94
242,-0.05,0.06,-0.16,36.82
243,-0.06,1.74,-0.18,21.64
244,-0.47,0.27,0.29,-21.05
245,-0.8,1.96,0.05,12.54
246,0.81,-1.04,-0.26,-92.33
247,0.58,0.43,-0.16,-11.71
248,1.84,-3.21,-0.03,-13.8
249,-0.68,-0.22,-0.38,19.96
250,-1.22,0.96,0.19,32.15
251,-1.44,0.6,0.18,20.7
252,-0.38,-0.84,0.16,33.52
253,0.07,0.02,-0.2,2.21
254,-0.58,-0.2,-0.53,-37.36
255,1.14,0.28,-0.01,52.25
256,-0.15,-0.49,-0.14,5.97
257,-1.02,1.19,-0.34,-4.52
258,0.82,-1.24,-0.18,-8.62
259,-0.2,0.42,-0.46,-59.67
260,0.27,0.23,0.09,-2.35
261,-1.47,0.61,0.46,-6.84
262,-0.47,-0.88,-0.31,33.29
263,8.16,-0.83,0.2,234.94
264,0.45,0.06,-0.28,-4.03
265,-2.17,-1.1,0.24,-15.71
266,-0.82,0.05,0.04,-19.28
267,0.61,0.49,0.06,61.94
268,-0.36,-0.48,0.09,-15.19
269,0.72,2.85,0.09,52.0
270,-0.72,0.66,-0.31,-2.99
271,0.26,4.04,0.27,42.63
272,0.75,0.33,0.78,-10.47
273,0.66,-1.45,-0.45,-3.89
274,0.54,1.24,-0.1,-34.19
275,0.81,-0.69,0.14,57.76
276,1.33,0.52,0.08,-9.62
277,-3.28,5.62,-0.85,37.83
278,1.11,1.49,0.29,-17.48
279,1.66,-0.53,0.24,4.14
280,-0.79,-0.38,0.2,32.69
281,0.74,-1.33,0.13,-12.09
282,-0.34,-0.26,-0.16,-19.07
283,0.34,-0.19,0.05,33.87
284,0.2,2.89,0.12,88.9
285,-0.35,0.39,0.71,21.46
286,0.14,-0.93,0.33,-21.12
287,-0.93,0.39,-0.31,41.32
288,-0.36,-0.59,-0.23,34.7
289,-0.12,0.16,0.15,45.69
290,0.03,-1.69,0.12,9.91
291,-2.13,-0.47,-0.05,3.82
292,7.27,-2.4,0.63,190.8
293,1.02,0.02,-0.51,-78.41
294,-0.0,-1.36,0.15,17.6
295,0.26,0.18,0.26,-15.25
296,-1.84,-1.34,0.23,-9.77
297,-1.18,0.87,0.16,13.06
298,3.05,-0.46,-0.14,24.74
299,-0.49,2.27,0.42,6.2
300,7.33,-2.08,0.69,180.96
301,-0.06,-0.26,-0.1,-16.39
302,-1.33,-0.25,0.03,13.25
303,0.5,0.56,0.37,-30.79
304,0.11,1.08,-0.19,2.32
305,1.03,3.73,-0.13,38.97
306,-2.99,5.13,-0.73,12.14
307,-1.39,0.38,-0.06,3.75
308,0.31,0.39,-0.15,-20.93
309,-1.3,-0.97,0.38,30.34
310,2.42,-0.2,-0.37,23.55
311,0.15,0.09,-0.31,23.12
312,-0.34,0.26,-0.29,26.5
313,-1.63,6.84,0.22,-10.76
314,0.76,-1.11,0.11,-14.45
315,0.78,-0.59,0.26,17.34
316,-1.03,0.7,0.19,-32.94
317,-0.52,0.07,-0.04,-24.41
318,0.35,0.01,-0.13,29.48
319,-0.83,-1.45,-0.01,19.26
320,2.12,1.27,-0.28,10.77
321,-0.1,-0.01,-0.57,-80.88
322,-2.22,-0.23,-0.45,22.41
323,-0.08,-0.28,0.12,39.37
324,0.74,-1.11,-0.3,-0.53
325,-0.25,0.16,0.08,-16.4
326,0.05,-0.49,0.22,-9.43
327,1.53,-0.77,-0.16,-15.05
328,-0.66,0.03,0.24,0.95
329,-0.43,0.92,-0.44,29.62
330,17.37,-1.54,1.75,326.03
331,0.28,2.9,-0.12,60.65
332,-0.06,-0.15,-0.32,-58.42
333,-0.35,3.59,-0.07,38.86
334,-0.32,-0.04,-0.25,33.54
335,-0.38,-0.12,0.47,-2.16
336,-0.16,-0.9,0.15,-42.0
337,1.24,-1.64,0.58,-12.32
338,-0.33,0.43,-0.41,-94.79
339,0.01,-1.38,-0.2,12.69
340,0.52,-0.84,-0.25,41.14
341,-0.05,-0.91,0.07,16.93
342,0.21,1.98,-0.42,-52.92
343,19.33,-2.35,1.63,337.28
344,4.61,-1.38,0.23,282.68
345,0.57,-0.14,0.3,-4.68
346,0.69,-0.16,0.25,30.63
347,-0.26,-0.64,-0.46,7.06
348,-0.6,0.5,0.18,-10.34
349,-0.23,-1.35,-0.01,-28.5
350,0.26,1.14,0.27,79.91
351,-1.45,-1.06,-0.2,-19.62
352,-1.02,0.15,-0.29,-32.62
353,0.86,0.86,0.25,64.58
354,0.97,-0.17,0.07,43.43
355,0.06,0.1,0.29,20.31
356,-1.04,0.03,-0.04,34.58
357,0.88,-1.48,0.54,19.81
358,-0.22,-0.87,-0.16,-33.52
359,-0.49,-0.2,0.09,29.58
360,-1.77,-1.72,-0.04,-21.4
361,1.21,0.17,0.18,44.59
362,-1.36,-2.14,-0.15,2.56
363,0.53,0.9,-0.16,-21.53
364,-0.2,-1.63,-0.07,-1.95
365,0.11,0.6,-0.0,25.96
366,0.77,1.03,0.06,36.66
367,0.44,1.0,-0.03,-41.8
368,0.8,-2.63,0.18,27.11
369,0.0,0.65,-0.05,18.22
370,0.08,-0.02,-0.23,-10.47
371,-0.14,-0.28,-0.32,23.22
372,0.16,-1.42,0.06,11.13
373,0.57,-0.34,-0.15,-6.17
374,-1.31,0.8,0.61,55.07
375,-0.23,0.36,-0.15,21.06
376,0.79,0.75,0.48,-2.85
377,-0.22,-1.48,-0.65,10.59
378,-0.01,0.09,-0.13,23.04
379,0.24,0.22,0.23,24.97
380,-0.9,-0.69,0.04,-0.92
381,-0.49,-0.14,0.06,43.01
382,-0.67,0.86,0.18,32.57
383,0.03,-0.62,-0.08,23.89
384,-0.22,3.32,0.06,33.12
385,-0.37,3.74,0.01,53.86
386,0.03,-0.07,0.42,17.05
387,1.35,0.8,0.61,-41.46
388,-0.73,0.76,0.2,9.84
389,-0.2,-2.52,-0.22,17.47
390,-2.5,1.87,0.15,1.76
391,19.17,-1.65,1.87,355.22
392,0.63,-0.64,-0.37,-40.23
393,0.67,-1.3,-0.27,-0.23
394,0.07,-0.77,0.17,13.7
395,0.27,0.35,-0.02,-4.69
396,1.3,0.83,-0.04,38.46
397,-1.56,0.12,-0.16,-14.77
398,-1.52,0.48,-0.32,3.42
399,0.85,0.26,-0.06,8.61
400,0.18,-0.54,0.06,-32.34
401,-0.33,0.93,-0.12,-4.25
402,-0.45,-0.32,0.14,2.41
403,-0.14,-0.72,-0.21,-5.67
404,1.51,-0.1,-0.1,-17.4
405,0.6,1.04,-0.43,5.09
406,9.36,-4.01,1.32,232.5
407,-1.77,0.59,-0.36,7.22
408,-0.4,-0.64,-0.08,51.64
409,1.47,0.34,0.24,-46.49
410,1.31,-0.2,-0.24,-43.05
411,-0.05,4.87,0.12,29.05
412,1.02,0.53,0.06,-45.63
413,-1.5,0.21,-0.19,0.12
414,1.48,0.37,-0.23,16.84
415,-1.41,2.04,-0.46,29.09
416,-0.12,0.13,-0.34,-15.28
417,0.13,-0.06,-0.12,-16.34
418,-0.6,1.22,0.46,4.81
419,0.45,0.8,0.19,40.43
420,-1.7,1.59,0.42,7.71
421,-1.44,0.89,-0.24,13.2
422,-0.16,-1.96,-0.2,-20.67
423,-0.64,0.19,-0.21,-39.85
424,0.23,-1.65,0.18,-71.63
425,-2.68,5.07,-0.36,15.78
426,1.28,-0.74,-0.38,44.65
427,0.4,0.76,-0.05,-23.37
428,-0.9,-0.5,0.23,22.85
429,-1.19,2.54,-0.25,48.96
430,1.92,1.34,-0.02,9.16
431,-1.37,0.92,-0.17,-35.84
432,0.04,-0.08,-0.03,-37.68
433,0.56,0.85,-0.21,-20.7
434,0.56,-0.5,0.15,8.87
435,0.67,-0.55,0.31,4.08
436,0.3,-0.62,-0.1,23.73
437,8.65,-1.39,-0.09,248.09
438,-1.83,-1.79,-0.04,-14.68
439,-0.88,1.06,-1.55,-32.11
440,-0.35,-0.6,-0.12,22.21
441,0.85,-0.11,0.29,24.62
442,-0.25,1.54,-0.2,10.66
443,0.41,-0.04,0.23,-0.77
444,-1.4,1.11,0.01,-38.82
445,0.87,0.2,0.23,-9.56
446,0.42,1.95,-1.05,-75.92
447,-0.05,-0.61,0.17,3.14
448,-1.82,1.13,0.1,24.69
449,-0.06,0.66,0.14,-17.74
450,2.63,-2.99,0.12,246.62
451,0.97,-0.88,0.28,7.28
452,0.8,-1.25,-0.34,-20.38
453,7.91,-2.47,0.38,234.68
454,-0.22,0.73,0.24,11.17
455,0.69,2.32,-0.1,58.9
456,1.39,-1.07,0.09,17.59
457,8.68,-1.28,1.0,231.86
458,-1.3,-0.51,-0.32,11.61
459,0.44,0.97,0.21,46.33
460,-1.24,2.08,-0.06,38.42
461,-0.95,1.91,0.54,-24.09
462,-0.1,-1.19,-0.4,-9.86
463,-0.34,-2.31,-0.02,13.6
464,0.58,1.4,0.21,2.53
465,0.4,-0.16,-0.3,23.12
466,1.01,6.11,0.28,5.38
467,1.13,1.21,-0.91,-71.43
468,3.92,-1.58,-0.4,273.4
469,-0.28,0.42,-0.54,88.13
470,0.16,-0.81,0.04,3.43
471,0.83,1.14,-0.18,18.78
472,-0.71,-1.53,0.28,-5.42
473,-0.51,-0.19,0.03,-4.55
474,0.17,0.38,-0.1,-0.38
475,0.59,0.38,0.83,37.64
476,2.65,-0.44,-0.35,-24.25
477,7.25,-3.11,0.93,242.6
478,-0.94,-1.25,0.39,7.11
479,0.17,-0.12,-0.49,-69.25
480,-1.26,1.53,0.06,44.03
481,9.51,-2.25,0.7,206.08
482,0.01,1.74,0.23,30.26
483,0.24,1.19,0.12,30.18
484,0.79,0.3,-0.06,-23.95
485,-0.26,1.04,0.1,20.2
486,-0.29,0.13,0.47,-35.11
487,0.67,0.05,0.36,-10.36
488,0.08,-1.42,-0.04,-8.88
489,1.73,-0.71,0.03,-1.98
490,0.53,0.88,0.02,-22.22
491,0.16,-0.14,-0.05,-44.19
492,-0.24,-1.32,-0.25,33.41
493,-1.74,0.99,0.37,36.03
494,-0.34,0.74,-0.08,6.56
495,0.43,-0.88,-0.4,-6.36
496,1.92,2.97,-0.2,19.74
497,-0.5,0.37,-0.22,-27.78
498,-0.23,-0.55,-0.24,25.32
499,-0.4,0.1,-0.26,36.41
500,-1.55,1.56,-0.17,-48.88
501,0.87,-0.56,-0.03,-28.13
502,0.24,-0.66,-0.03,-22.07
503,2.08,-0.63,0.22,-20.46
504,-0.47,1.14,-0.75,-79.96
505,0.42,-0.13,0.21,-8.19
506,0.87,1.38,0.31,-5.43
507,-1.77,-0.39,-0.01,14.61
508,0.26,-0.3,0.13,11.14
509,-0.16,-0.21,-0.17,3.74
510,-0.74,-1.0,0.09,-18.66
511,0.06,-0.14,-0.02,-18.47
512,0.98,-0.3,-0.02,-25.02
513,-0.8,-0.21,0.08,-20.48
514,-0.85,0.92,0.22,0.7
515,0.28,-0.88,-0.1,-18.34
516,19.42,-1.79,2.15,310.54
517,0.32,-0.05,0.16,-0.94
518,-0.77,0.29,-0.44,11.1
519,0.82,-1.45,0.27,6.98
520,0.39,1.12,0.17,-8.3
521,-0.34,-0.91,0.34,-13.37
522,10.1,-1.65,0.64,210.84
523,-1.05,0.04,-0.07,1.03
524,0.47,-1.62,-0.07,37.02
525,-0.48,0.38,-0.14,11.28
526,1.27,-0.71,-0.48,-9.16
527,-2.37,8.8,-0.83,-5.25
528,-2.94,4.12,-0.6,34.95
529,1.05,-0.19,0.04,-24.43
530,0.3,0.06,-0.11,-11.14
531,1.95,-1.26,0.11,-27.78
532,-0.82,0.28,-0.29,3.38
533,-1.04,1.04,-0.31,-15.43
534,-0.71,0.31,0.32,-24.56
535,-0.16,-2.04,0.03,-30.37
536,0.14,0.28,0.35,2.11
537,0.31,-0.52,-0.24,-13.62
538,0.33,0.75,0.08,15.54
539,-1.36,1.81,-0.54,-16.05
540,-0.76,-1.04,-0.28,7.82
541,0.99,0.51,-0.17,12.06
542,0.32,-0.74,-0.14,-12.61
543,0.1,0.78,0.2,8.19
544,0.69,-0.4,0.04,46.26
545,1.2,-0.8,-0.06,18.49
546,-0.07,0.45,-0.33,-3.17
547,0.13,0.18,-0.0,-9.99
548,-0.13,0.17,-0.31,-35.62
549,-0.03,0.55,0.12,19.81
550,8.24,-2.06,0.82,190.67
551,-0.52,0.34,0.01,-0.46
552,-0.8,-1.11,-0.85,-89.35
553,-1.45,-0.65,0.04,38.14
554,0.5,0.72,0.19,22.05
555,0.43,-0.51,-0.04,23.69
556,3.57,-2.05,-0.07,281.46
557,-0.6,-0.49,0.01,58.07
558,-0.8,3.61,0.21,44.21
559,-0.03,-1.9,-0.24,27.72
560,0.62,0.48,-0.1,21.22
561,4.18,-0.99,0.14,270.41
562,-1.15,-0.34,-0.39,-43.92
563,-1.34,-1.01,-0.24,-1.82
564,-0.56,-1.27,-0.04,-16.85
565,0.83,-1.83,-0.18,-5.08
566,0.73,-0.09,0.49,-12.39
567,0.77,1.62,-0.16,15.0
568,-0.81,0.26,0.0,13.78
569,-0.95,-1.32,0.31,-0.79
570,0.5,0.38,0.31,-9.0
571,0.48,-1.04,0.06,-37.77
572,2.2,-0.29,-0.03,20.22
573,-1.43,-1.34,0.59,12.62
574,-0.09,-0.29,-0.44,-3.12
575,-1.09,-0.76,-0.01,-31.17
576,0.98,0.52,-0.27,-22.13
577,1.43,0.59,0.38,-19.21
578,-0.25,-0.4,0.22,-17.62
579,0.18,0.17,-0.34,6.49
580,1.12,-0.27,0.16,40.02
581,-0.31,2.09,-0.27,28.28
582,9.57,-2.41,0.39,196.39
583,-0.28,-0.28,0.04,28.58
584,-0.39,-1.34,-0.06,52.4
585,1.33,-0.43,0.03,-9.43
586,-2.68,5.93,-0.73,29.1
587,0.62,4.65,0.33,46.09
588,1.88,0.42,-0.13,-12.85
589,0.25,-0.43,-0.17,12.25
590,-0.13,0.61,0.24,-1.36
591,0.93,-0.02,0.29,-14.07
592,0.12,1.52,-0.0,-29.4
593,1.04,2.15,0.42,20.69
594,-0.38,0.95,0.12,1.01
595,0.09,0.66,-0.36,-5.4
596,0.79,-0.47,0.06,-52.46
597,-0.91,-0.53,-0.09,-7.84
598,0.75,1.13,0.47,55.0
599,0.54,-0.8,0.23,-3.91
600,1.14,-1.25,0.18,-54.95
601,-0.02,-0.25,0.23,20.44
602,0.47,0.45,0.25,69.48
603,0.47,-0.36,0.04,-20.92
604,9.26,-2.45,0.3,214.68
605,-0.55,-0.2,-0.22,84.0
606,-2.67,7.62,-0.34,16.14
607,0.03,-0.23,-0.25,5.56
608,-0.41,-0.85,0.02,84.92
609,1.11,0.15,0.2,-11.31
610,-0.72,-0.59,0.03,-8.61
611,0.14,-0.37,0.04,3.86
612,0.77,-1.06,-0.07,-13.67
613,2.72,-0.51,-0.01,7.14
614,-0.39,0.47,-0.11,-11.01
615,-1.24,0.14,0.35,-0.46
616,0.71,-0.41,-0.33,22.66
617,-3.33,0.51,-0.22,-32.71
618,1.67,0.7,0.6,-39.14
619,1.19,-1.9,-0.41,18.47
620,0.96,0.14,-0.99,-50.92
621,0.69,-0.51,-0.14,-40.69
622,0.84,0.41,-0.33,11.76
623,-0.37,0.69,0.02,13.71
624,0.62,-1.65,0.07,-18.08
625,1.29,2.09,-0.52,12.45
626,1.23,0.64,-0.07,20.57
627,-0.79,-0.12,0.19,-7.69
628,0.3,0.91,-0.28,11.29
629,-0.53,0.38,-0.1,-32.52
630,-2.81,7.09,-0.27,15.15
631,8.64,-0.93,0.3,256.96
632,3.39,-2.58,-0.37,255.63
633,0.84,0.75,0.06,-18.98
634,0.91,-0.81,-0.59,19.73
635,0.05,-0.71,0.22,-57.81
636,0.18,0.08,0.48,10.4
637,0.57,1.14,-0.05,15.31
638,-0.73,-0.08,0.52,13.08
639,-0.22,1.87,-0.13,29.28
640,0.52,4.0,-0.02,58.69
641,1.05,-0.7,0.23,12.16
642,-0.54,-1.07,0.51,74.13
643,-0.95,0.13,0.32,3.01
644,-0.49,0.61,-0.12,-11.66
645,-2.03,7.08,-0.62,-35.0
646,-0.79,3.82,-0.02,79.16
647,-0.68,-0.06,0.28,14.24
648,0.56,0.55,-0.08,-8.35
649,-1.97,0.32,0.14,-10.43
650,0.53,-0.14,-0.35,9.21
651,1.45,0.27,-0.02,-4.23
652,1.9,0.04,-0.46,-3.02
653,1.02,-0.94,0.46,33.8
654,0.13,0.74,0.01,-40.73
655,0.71,-1.12,0.12,-2.23
656,-1.03,-1.33,-0.15,-13.65
657,-0.72,1.03,-0.12,4.84
658,-0.27,0.07,-0.22,17.33
659,-1.39,-0.7,-0.12,31.18
660,0.36,1.27,-0.21,2.11
661,8.53,-1.45,0.63,237.66
662,-0.64,1.42,-0.09,-35.74
663,-0.56,0.81,0.03,3.57
664,9.31,-3.36,0.37,240.2
665,9.01,-1.85,0.01,270.49
666,-1.24,0.27,-0.11,-8.35
667,-0.93,-1.4,0.18,14.16
668,1.69,1.05,-0.35,22.55
669,7.79,-1.46,0.63,191.98
670,-1.8,0.34,-0.15,8.28
671,-0.1,-0.6,0.44,-20.01
672,0.94,3.49,-0.21,50.1
673,3.35,-1.84,0.11,237.46
674,2.28,-0.32,-0.44,30.45
675,-1.77,0.43,-0.45,-14.58
676,0.59,0.3,0.12,4.89
677,-0.13,-0.65,0.33,-5.46
678,5.87,-2.74,0.07,267.1
679,9.3,-2.27,0.44,205.75
680,-0.67,-1.08,-0.9,-37.95
681,0.33,1.19,0.07,18.54
682,1.18,0.02,-0.18,-3.31
683,-0.74,-0.48,-0.96,-65.17
684,-0.28,-0.28,0.04,-9.32
685,-0.32,-1.21,-0.34,-11.23
686,-0.5,0.69,0.07,-5.17
687,0.51,-0.46,0.19,21.14
688,0.9,-2.23,-0.03,-32.57
689,0.22,-2.13,-0.43,-32.95
690,-0.35,0.37,0.06,111.51
691,-0.75,1.45,0.15,-34.88
692,-0.49,-0.24,-0.44,-24.32
693,0.85,-0.41,-0.11,15.16
694,0.17,-0.48,-0.54,-9.62
695,-2.19,6.76,-0.27,15.85
696,0.1,0.44,0.09,120.09
697,1.52,-0.61,-0.22,40.29
